trade_exchange_code,symbol_id,trade_size,trade_price,trade_timestamp,bid_size,ask_size,quote_timestamp,bid,ask
D,7614,400,900.26,2024-04-01 16:47:06.517034589,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,10,900.2599,2024-04-01 16:47:06.593876000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,10,900.25,2024-04-01 16:47:06.593946000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,12,900.2599,2024-04-01 16:47:06.593996000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,12,900.25,2024-04-01 16:47:06.594017000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,178,900.345,2024-04-01 16:47:06.608481000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,12,900.3000000000001,2024-04-01 16:47:06.902669755,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,15,900.25,2024-04-01 16:47:06.902966014,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,85,900.25,2024-04-01 16:47:06.902976142,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,100,900.25,2024-04-01 16:47:06.903093000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,1,900.25,2024-04-01 16:47:06.903195976,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.0412,2024-04-01 16:47:06.954000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,1,900.25,2024-04-01 16:47:07.140022019,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.22,2024-04-01 16:47:07.153000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.21,2024-04-01 16:47:07.266812470,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.38,2024-04-01 16:47:07.269000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,10407,1,92.58,2024-04-01 16:47:07.365525000,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,7614,400,900.21,2024-04-01 16:47:07.441000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.205,2024-04-01 16:47:07.446936000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,49,900.205,2024-04-01 16:47:07.446937000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.2693,2024-04-01 16:47:07.532000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.205,2024-04-01 16:47:07.608425300,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,90,900.08,2024-04-01 16:47:07.616016173,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,10,900.2,2024-04-01 16:47:07.631000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,20,900.2409,2024-04-01 16:47:07.664000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.0400000000001,2024-04-01 16:47:07.674000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,300,900.0400000000001,2024-04-01 16:47:07.681000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,400,900.1600000000001,2024-04-01 16:47:07.745661950,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,3,900.195,2024-04-01 16:47:07.952000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,2,900.195,2024-04-01 16:47:07.966000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,67,900.195,2024-04-01 16:47:08.182286082,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,67,900.2,2024-04-01 16:47:08.182318000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,21,900.1700000000001,2024-04-01 16:47:08.187834789,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,145,900.1700000000001,2024-04-01 16:47:08.187834789,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,10,900.1600000000001,2024-04-01 16:47:08.203427257,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,90,900.0500000000001,2024-04-01 16:47:08.203922511,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.1700000000001,2024-04-01 16:47:08.204481723,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,25,900.0600000000001,2024-04-01 16:47:08.348304509,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,5,900.3100000000001,2024-04-01 16:47:08.465445573,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,620,900.1850000000001,2024-04-01 16:47:08.470331697,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.3299000000001,2024-04-01 16:47:08.475000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.3299000000001,2024-04-01 16:47:08.478000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.3288,2024-04-01 16:47:08.710000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,15,900.1849000000001,2024-04-01 16:47:08.743887331,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,50,900.0600000000001,2024-04-01 16:47:08.743890292,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,250,900.0600000000001,2024-04-01 16:47:08.743890292,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.1723000000001,2024-04-01 16:47:08.876000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,10,900.1761,2024-04-01 16:47:08.889000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,240,900.2288000000001,2024-04-01 16:47:08.901394000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,100,900.2800000000001,2024-04-01 16:47:08.932470674,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.1879,2024-04-01 16:47:08.949000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.269,2024-04-01 16:47:08.995000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.2812,2024-04-01 16:47:09.070220656,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,36,900.0500000000001,2024-04-01 16:47:09.092576333,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,2,900.1650000000001,2024-04-01 16:47:09.138728357,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.1700000000001,2024-04-01 16:47:09.157000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.1650000000001,2024-04-01 16:47:09.200000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,2178,5,2876.0,2024-04-01 16:47:09.298427153,200,100,2024-04-01 13:46:48.343248603,2890.0,2897.4900000000002
D,10407,1,92.575,2024-04-01 16:47:09.458941000,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,7614,1,900.25,2024-04-01 16:47:09.485000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,10407,100,92.575,2024-04-01 16:47:09.560956798,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,7614,100,900.0401,2024-04-01 16:47:09.563000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,10407,300,92.575,2024-04-01 16:47:09.565305486,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,10407,500,92.575,2024-04-01 16:47:09.566537016,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,7614,1,900.2234000000001,2024-04-01 16:47:09.641879667,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,10,900.1464000000001,2024-04-01 16:47:09.724000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,10407,10,92.5776,2024-04-01 16:47:09.922209409,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,7614,1,900.0412,2024-04-01 16:47:09.967000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.24,2024-04-01 16:47:09.988000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,10407,100,92.58,2024-04-01 16:47:10.006224412,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,10407,10,92.575,2024-04-01 16:47:10.181761355,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,10407,10,92.57990000000001,2024-04-01 16:47:10.190000000,6500,8200,2024-04-01 14:06:03.431891827,92.82000000000001,92.83
D,7614,10,900.14,2024-04-01 16:47:10.304000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.14,2024-04-01 16:47:10.457000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,5,900.1464000000001,2024-04-01 16:47:10.462000000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.2,2024-04-01 16:47:10.501460793,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
J,7614,50,900.0400000000001,2024-04-01 16:47:10.554340000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,6,900.0400000000001,2024-04-01 16:47:10.554703000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,1,900.0400000000001,2024-04-01 16:47:10.554704000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
D,7614,243,900.0400000000001,2024-04-01 16:47:10.555081412,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,15,900.0400000000001,2024-04-01 16:47:10.575908649,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,85,900.0400000000001,2024-04-01 16:47:10.575933318,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,10,900.0400000000001,2024-04-01 16:47:10.575933318,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,100,900.0400000000001,2024-04-01 16:47:10.575933318,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,5,900.0,2024-04-01 16:47:10.576256000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,4,900.0,2024-04-01 16:47:10.576256000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,10,900.0200000000001,2024-04-01 16:47:10.576279109,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,18,900.0200000000001,2024-04-01 16:47:10.576279109,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,1,900.0,2024-04-01 16:47:10.576377669,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,5,900.0,2024-04-01 16:47:10.576377669,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
P,7614,2,900.0,2024-04-01 16:47:10.576377669,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,37,900.0,2024-04-01 16:47:10.576413028,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,21,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,100,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,5,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,10,900.0,2024-04-01 16:47:10.576438000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
Q,7614,8,900.0,2024-04-01 16:47:10.576539560,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
S,7614,10,900.0,2024-04-01 16:47:10.576551249,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
S,7614,25,900.0,2024-04-01 16:47:10.576551249,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
K,7614,136,900.0,2024-04-01 16:47:10.576676000,100,100,2024-04-01 14:06:03.526045032,912.3000000000001,912.6700000000001
